n1	n2	d1	d2	type	m	sig1	sig2	sigm	sdir	d1.c2	d2.c1	d1.cm	d2.cm	dm.c1	dm.c2	c1.c2	c1.cm	c2.cm	d1.p2	d2.p1	dm.p1	dm.p2	p1.p2	d1.scp2	d2.scp1	dm.scp2	dm.scp1	d1.scpd2	d2.scpd1	dm.scpd2	dm.scpd1	big1	big2
20	320	0	0.2	big2	21	21	17	17	21	0	14	0	21	17	21	20	20	21	14	17	18	21	21	21	0	21	0	21	0	21	0	21	0
20	320	0	0.2	s2or	21	21	17	17	21	17	19	17	21	21	21	21	21	21	19	21	21	21	21	21	17	21	17	21	17	21	17	21	17
40	320	0	0.2	raw	1000	46	690	649	484	341	841	361	1000	896	1000	952	976	1000	875	875	918	1000	999	484	200	484	192	484	447	484	454	200	284
40	320	0	0.2	sig1	46	46	30	25	21	0	19	0	46	20	46	25	31	46	20	20	20	46	45	21	6	21	10	21	3	21	5	21	0
40	320	0	0.2	bsln	21	21	15	19	21	0	19	0	21	20	21	20	21	21	20	20	20	21	21	21	6	21	10	21	3	21	5	21	0
40	320	0	0.2	sig2	15	15	15	15	15	0	14	0	15	15	15	15	15	15	15	15	15	15	15	15	6	15	10	15	3	15	5	15	0
40	320	0	0.2	big2	21	21	15	19	21	0	19	0	21	20	21	20	21	21	20	20	20	21	21	21	6	21	10	21	3	21	5	21	0
40	320	0	0.2	s2or	21	21	15	19	21	15	20	15	21	20	21	20	21	21	20	20	20	21	21	21	15	21	15	21	15	21	15	21	15
80	320	0	0.2	raw	1000	33	690	590	488	370	736	414	999	877	1000	941	984	1000	811	811	917	1000	999	488	404	488	401	481	478	488	485	111	377
80	320	0	0.2	sig1	33	33	23	20	14	7	12	7	32	14	33	15	23	33	13	13	15	33	32	14	13	14	14	14	8	14	12	13	1
80	320	0	0.2	bsln	14	14	8	13	14	7	12	7	14	14	14	14	14	14	13	13	14	14	14	14	13	14	14	14	8	14	12	13	1
80	320	0	0.2	sig2	8	8	8	8	8	7	8	7	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	7	1
80	320	0	0.2	big2	14	14	8	13	14	7	12	7	14	14	14	14	14	14	13	13	14	14	14	14	13	14	14	14	8	14	12	14	1
80	320	0	0.2	s2or	14	14	8	13	14	8	12	8	14	14	14	14	14	14	13	13	14	14	14	14	13	14	14	14	8	14	12	14	8
160	320	0	0.2	raw	1000	58	690	525	487	386	545	466	918	824	979	913	997	1000	694	692	942	1000	997	487	476	487	482	423	482	487	487	92	395
160	320	0	0.2	sig1	58	58	34	29	31	27	31	28	39	33	49	39	56	58	32	32	41	58	56	31	30	31	31	31	27	31	31	26	5
160	320	0	0.2	bsln	31	31	17	29	31	27	31	28	31	31	31	31	31	31	31	31	31	31	31	31	30	31	31	31	27	31	31	26	5
160	320	0	0.2	sig2	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	12	5
160	320	0	0.2	big2	31	31	17	29	31	27	31	28	31	31	31	31	31	31	31	31	31	31	31	31	30	31	31	31	27	31	31	31	5
160	320	0	0.2	s2or	31	31	17	29	31	27	31	28	31	31	31	31	31	31	31	31	31	31	31	31	30	31	31	31	27	31	31	31	17
320	320	0	0.2	raw	1000	57	690	432	515	370	370	575	572	835	834	834	1000	999	574	571	986	983	985	515	515	515	515	331	515	511	515	50	465
320	320	0	0.2	sig1	57	57	41	32	32	31	31	31	31	37	37	37	57	56	31	31	52	52	52	32	32	32	32	31	32	32	32	14	18
320	320	0	0.2	bsln	32	32	21	32	32	31	31	31	31	32	32	32	32	32	31	31	32	32	32	32	32	32	32	31	32	32	32	14	18
320	320	0	0.2	sig2	21	21	21	21	21	20	20	20	20	21	21	21	21	21	20	20	21	21	21	21	21	21	21	20	21	21	21	3	18
320	320	0	0.2	big2	32	32	21	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	18
320	320	0	0.2	s2or	32	32	21	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	21
20	20	0.2	0.2	raw	1000	95	95	142	618	831	831	961	960	996	995	996	1000	1000	956	954	999	999	999	618	618	618	618	600	598	618	618	308	310
20	20	0.2	0.2	sig1	95	95	11	57	72	46	50	74	81	91	91	91	95	95	73	77	94	94	94	72	72	72	72	72	52	72	72	69	3
20	20	0.2	0.2	bsln	72	72	9	54	72	46	50	67	70	72	72	72	72	72	67	69	72	72	72	72	72	72	72	72	52	72	72	69	3
20	20	0.2	0.2	sig2	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	6	3
20	20	0.2	0.2	big2	72	72	9	54	72	46	50	67	70	72	72	72	72	72	67	69	72	72	72	72	72	72	72	72	52	72	72	72	3
20	20	0.2	0.2	s2or	72	72	9	54	72	46	50	67	70	72	72	72	72	72	67	69	72	72	72	72	72	72	72	72	52	72	72	72	9
40	20	0.2	0.2	raw	1000	148	95	184	646	900	729	995	843	1000	985	993	1000	1000	953	950	1000	994	1000	483	646	550	646	607	640	639	646	270	376
40	20	0.2	0.2	sig1	148	148	16	103	110	114	89	146	109	148	144	145	148	148	131	132	148	146	148	110	110	110	110	109	104	110	110	90	20
40	20	0.2	0.2	bsln	110	110	16	98	110	103	89	110	102	110	110	110	110	110	109	110	110	110	110	110	110	110	110	109	104	110	110	90	20
40	20	0.2	0.2	sig2	16	16	16	16	16	15	15	16	15	16	16	16	16	16	16	16	16	16	16	16	16	16	16	15	16	16	16	4	12
40	20	0.2	0.2	big2	110	110	24	98	110	104	90	110	103	110	110	110	110	110	109	110	110	110	110	110	110	110	110	110	104	110	110	110	20
40	20	0.2	0.2	s2or	110	110	16	98	110	104	90	110	103	110	110	110	110	110	109	110	110	110	110	110	110	110	110	110	104	110	110	102	24
80	20	0.2	0.2	raw	1000	237	95	285	691	907	616	1000	678	1000	959	989	1000	997	943	939	1000	978	1000	305	691	346	691	601	691	640	691	246	445
80	20	0.2	0.2	sig1	237	237	25	204	168	204	135	237	149	237	225	235	237	237	215	215	237	229	237	168	168	168	168	160	168	164	168	106	62
80	20	0.2	0.2	bsln	168	168	25	167	168	166	135	168	149	168	167	168	168	168	166	166	168	168	168	168	168	168	168	160	168	164	168	106	62
80	20	0.2	0.2	sig2	25	25	25	25	25	23	9	25	16	25	24	25	25	25	23	23	25	25	25	25	25	25	25	17	25	21	25	0	25
80	20	0.2	0.2	big2	168	168	62	167	168	168	151	168	158	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168	62
80	20	0.2	0.2	s2or	168	168	25	167	168	168	151	168	158	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168	131	62
160	20	0.2	0.2	raw	1000	435	95	459	716	929	496	1000	514	1000	952	980	1000	992	944	941	1000	965	1000	130	716	137	716	569	716	593	716	251	465
160	20	0.2	0.2	sig1	435	435	39	403	332	409	221	435	228	435	418	426	435	432	415	414	435	423	435	130	332	137	332	290	332	296	332	165	167
160	20	0.2	0.2	bsln	332	332	38	331	332	328	221	332	228	332	329	330	332	332	329	328	332	330	332	130	332	137	332	290	332	296	332	165	167
160	20	0.2	0.2	sig2	38	38	38	38	38	34	1	38	1	38	35	36	38	38	35	34	38	36	38	18	38	28	38	4	38	7	38	0	38
160	20	0.2	0.2	big2	332	332	167	331	332	332	302	332	307	332	332	332	332	332	332	332	332	332	332	244	332	233	332	332	332	332	332	332	167
160	20	0.2	0.2	s2or	332	332	38	331	332	332	258	332	265	332	332	332	332	332	332	332	332	332	332	150	332	147	332	324	332	327	332	203	167
320	20	0.2	0.2	raw	1000	690	95	716	735	945	366	1000	372	1000	952	980	1000	987	946	944	1000	959	1000	10	735	10	735	526	735	539	735	229	506
320	20	0.2	0.2	sig1	690	690	64	675	518	652	257	690	262	690	657	676	690	680	653	651	690	661	690	10	518	10	518	390	518	400	518	195	323
320	20	0.2	0.2	bsln	518	518	62	518	518	503	257	518	262	518	505	511	518	513	504	502	518	506	518	10	518	10	518	390	518	400	518	195	323
320	20	0.2	0.2	sig2	62	62	62	62	62	47	0	62	0	62	49	55	62	57	48	46	62	50	62	1	62	2	62	0	62	0	62	0	62
320	20	0.2	0.2	big2	518	518	323	518	518	518	453	518	457	518	518	518	518	518	518	518	518	518	518	331	518	330	518	518	518	518	518	518	323
320	20	0.2	0.2	s2or	518	518	62	518	518	518	319	518	324	518	518	518	518	518	518	518	518	518	518	71	518	70	518	452	518	462	518	257	323
20	40	0.2	0.2	raw	1000	95	148	183	660	727	883	821	991	980	1000	989	1000	1000	935	943	991	1000	1000	660	499	660	573	656	616	660	643	367	293
20	40	0.2	0.2	sig1	95	95	14	46	77	26	52	39	90	81	95	88	95	95	63	68	89	95	95	77	61	77	77	77	37	77	60	76	1
20	40	0.2	0.2	bsln	77	77	12	46	77	26	52	39	77	74	77	77	77	77	61	66	77	77	77	77	61	77	77	77	37	77	60	76	1
20	40	0.2	0.2	sig2	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	11	1
20	40	0.2	0.2	big2	77	77	12	46	77	26	52	39	77	74	77	77	77	77	61	66	77	77	77	77	61	77	77	77	37	77	60	77	1
20	40	0.2	0.2	s2or	77	77	12	46	77	26	52	39	77	74	77	77	77	77	61	66	77	77	77	77	61	77	77	77	37	77	60	77	12
40	40	0.2	0.2	raw	1000	148	148	232	702	831	830	945	948	995	995	995	1000	1000	942	942	999	999	999	702	702	702	702	682	683	702	702	359	343
40	40	0.2	0.2	sig1	148	148	27	106	121	100	100	126	133	145	145	145	148	148	126	128	147	147	147	121	121	121	121	121	102	121	121	110	11
40	40	0.2	0.2	bsln	121	121	25	104	121	100	100	116	119	121	121	121	121	121	116	118	121	121	121	121	121	121	121	121	102	121	121	110	11
40	40	0.2	0.2	sig2	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	14	11
40	40	0.2	0.2	big2	121	121	25	104	121	100	100	116	119	121	121	121	121	121	116	118	121	121	121	121	121	121	121	121	102	121	121	121	11
40	40	0.2	0.2	s2or	121	121	25	104	121	100	100	116	119	121	121	121	121	121	116	118	121	121	121	121	121	121	121	121	102	121	121	121	25
80	40	0.2	0.2	raw	1000	237	148	325	757	880	736	994	827	1000	977	990	1000	1000	936	931	1000	994	1000	632	757	695	757	700	753	740	757	319	438
80	40	0.2	0.2	sig1	237	237	30	191	192	195	156	235	186	237	227	234	237	237	208	208	237	236	237	192	192	192	192	191	188	192	192	149	43
80	40	0.2	0.2	bsln	192	192	29	180	192	188	156	192	182	192	192	192	192	192	191	191	192	192	192	192	192	192	192	191	188	192	192	149	43
80	40	0.2	0.2	sig2	29	29	29	29	29	29	23	29	28	29	29	29	29	29	29	29	29	29	29	29	29	29	29	28	29	29	29	4	25
80	40	0.2	0.2	big2	192	192	47	180	192	188	162	192	183	192	192	192	192	192	191	191	192	192	192	192	192	192	192	192	188	192	192	192	43
80	40	0.2	0.2	s2or	192	192	29	180	192	188	162	192	183	192	192	192	192	192	191	191	192	192	192	192	192	192	192	192	188	192	192	174	47
160	40	0.2	0.2	raw	1000	435	148	510	794	908	619	1000	667	1000	966	992	1000	998	938	935	1000	988	1000	523	794	570	794	669	792	721	794	315	479
160	40	0.2	0.2	sig1	435	435	61	396	358	395	273	435	298	435	421	431	435	433	406	407	435	429	435	358	358	358	358	333	356	347	358	213	145
160	40	0.2	0.2	bsln	358	358	58	351	358	353	273	358	297	358	356	358	358	358	355	355	358	358	358	358	358	358	358	333	356	347	358	213	145
160	40	0.2	0.2	sig2	58	58	58	58	58	53	23	58	29	58	56	58	58	58	55	55	58	58	58	58	58	58	58	33	58	47	58	1	57
160	40	0.2	0.2	big2	358	358	146	351	358	358	308	358	326	358	358	358	358	358	358	358	358	358	358	358	358	358	358	358	356	358	358	358	145
160	40	0.2	0.2	s2or	358	358	58	351	358	358	308	358	326	358	358	358	358	358	358	358	358	358	358	358	358	358	358	358	356	358	358	270	146
320	40	0.2	0.2	raw	1000	690	148	746	817	919	482	1000	514	1000	948	989	1000	993	934	931	1000	967	1000	356	817	375	817	641	816	670	817	297	520
320	40	0.2	0.2	sig1	690	690	99	661	560	634	346	690	369	690	656	683	690	686	646	643	690	669	690	356	560	375	560	475	559	491	560	252	308
320	40	0.2	0.2	bsln	560	560	95	558	560	541	346	560	369	560	548	559	560	560	542	541	560	554	560	356	560	375	560	475	559	491	560	252	308
320	40	0.2	0.2	sig2	95	95	95	95	95	76	5	95	9	95	83	94	95	95	77	76	95	89	95	62	95	89	95	21	95	29	95	0	95
320	40	0.2	0.2	big2	560	560	308	558	560	560	484	560	493	560	560	560	560	560	560	560	560	560	560	484	560	466	560	560	559	560	560	560	308
320	40	0.2	0.2	s2or	560	560	95	558	560	560	436	560	455	560	560	560	560	560	560	560	560	560	560	389	560	381	560	549	559	557	560	347	308
20	80	0.2	0.2	raw	1000	95	237	278	685	607	924	670	1000	972	1000	990	998	1000	953	959	987	1000	999	685	313	685	344	685	593	685	626	447	238
20	80	0.2	0.2	sig1	95	95	29	58	84	6	58	15	95	78	95	87	93	95	68	72	85	95	94	84	46	84	68	84	24	84	35	84	0
20	80	0.2	0.2	bsln	84	84	28	57	84	6	58	15	84	76	84	82	84	84	68	72	82	84	84	84	46	84	68	84	24	84	35	84	0
20	80	0.2	0.2	sig2	28	28	28	28	28	6	26	15	28	27	28	28	28	28	27	27	28	28	28	28	28	28	28	28	21	28	24	28	0
20	80	0.2	0.2	big2	84	84	28	57	84	6	58	15	84	76	84	82	84	84	68	72	82	84	84	84	46	84	68	84	24	84	35	84	0
20	80	0.2	0.2	s2or	84	84	28	57	84	28	60	28	84	77	84	82	84	84	69	73	82	84	84	84	46	84	68	84	31	84	39	84	28
40	80	0.2	0.2	raw	1000	148	237	332	751	713	891	818	997	983	1000	996	1000	1000	942	949	998	1000	1000	751	630	751	710	742	678	751	729	409	342
40	80	0.2	0.2	sig1	148	148	27	99	128	48	94	67	145	136	148	144	148	148	111	118	146	148	148	128	104	128	128	128	65	128	106	128	0
40	80	0.2	0.2	bsln	128	128	27	99	128	48	94	67	128	122	128	128	128	128	106	112	128	128	128	128	104	128	128	128	65	128	106	128	0
40	80	0.2	0.2	sig2	27	27	27	27	27	22	27	24	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	24	27	27	27	0
40	80	0.2	0.2	big2	128	128	27	99	128	48	94	67	128	122	128	128	128	128	106	112	128	128	128	128	104	128	128	128	65	128	106	128	0
40	80	0.2	0.2	s2or	128	128	27	99	128	53	94	70	128	122	128	128	128	128	106	112	128	128	128	128	104	128	128	128	68	128	106	128	27
80	80	0.2	0.2	raw	1000	237	237	403	808	843	845	952	951	993	993	993	1000	1000	952	951	999	1000	999	808	808	808	808	778	780	808	808	405	405
80	80	0.2	0.2	sig1	237	237	54	185	213	173	176	215	215	232	232	232	237	237	215	215	236	237	236	213	213	213	213	213	185	213	213	185	28
80	80	0.2	0.2	bsln	213	213	53	183	213	173	176	205	205	213	213	213	213	213	205	205	213	213	213	213	213	213	213	213	185	213	213	185	28
80	80	0.2	0.2	sig2	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	25	28
80	80	0.2	0.2	big2	213	213	53	183	213	173	176	205	205	213	213	213	213	213	205	205	213	213	213	213	213	213	213	213	185	213	213	213	28
80	80	0.2	0.2	s2or	213	213	53	183	213	173	176	205	205	213	213	213	213	213	205	205	213	213	213	213	213	213	213	213	185	213	213	213	53
160	80	0.2	0.2	raw	1000	435	237	587	855	891	737	994	829	999	972	990	1000	1000	939	937	1000	997	1000	793	855	840	855	783	837	838	855	402	453
160	80	0.2	0.2	sig1	435	435	99	393	384	379	316	429	350	434	419	427	435	435	405	405	435	432	435	384	384	384	384	377	366	384	384	274	110
160	80	0.2	0.2	bsln	384	384	98	368	384	363	316	384	345	384	384	384	384	384	378	378	384	384	384	384	384	384	384	377	366	384	384	274	110
160	80	0.2	0.2	sig2	98	98	98	98	98	95	83	98	93	98	98	98	98	98	98	98	98	98	98	98	98	98	98	91	98	98	98	17	81
160	80	0.2	0.2	big2	384	384	127	368	384	366	331	384	350	384	384	384	384	384	378	378	384	384	384	384	384	384	384	384	366	384	384	384	110
160	80	0.2	0.2	s2or	384	384	98	368	384	366	331	384	350	384	384	384	384	384	378	378	384	384	384	384	384	384	384	384	366	384	384	355	127
320	80	0.2	0.2	raw	1000	690	237	793	886	913	609	1000	671	1000	965	992	1000	1000	948	945	1000	983	1000	761	886	815	886	750	882	791	886	389	497
320	80	0.2	0.2	sig1	690	690	148	670	615	642	437	690	480	690	672	686	690	690	662	660	690	681	690	615	615	615	615	566	611	585	615	336	279
320	80	0.2	0.2	bsln	615	615	148	609	615	601	437	615	479	615	613	615	615	615	608	606	615	615	615	615	615	615	615	566	611	585	615	336	279
320	80	0.2	0.2	sig2	148	148	148	148	148	136	69	148	83	148	146	148	148	148	141	139	148	148	148	148	148	148	148	99	148	118	148	3	145
320	80	0.2	0.2	big2	615	615	282	609	615	613	516	615	544	615	615	615	615	615	615	615	615	615	615	615	615	615	615	615	611	615	615	615	279
320	80	0.2	0.2	s2or	615	615	148	609	615	613	516	615	544	615	615	615	615	615	615	615	615	615	615	615	615	615	615	615	611	615	615	481	282
20	160	0.2	0.2	raw	1000	95	435	456	726	492	926	517	1000	960	1000	988	994	1000	936	944	968	1000	1000	726	141	726	138	726	570	726	590	482	244
20	160	0.2	0.2	sig1	95	95	40	63	87	0	55	2	95	70	95	86	89	95	57	63	75	95	95	87	14	87	27	87	5	87	7	87	0
20	160	0.2	0.2	bsln	87	87	39	63	87	0	55	2	87	69	87	81	84	87	57	63	72	87	87	87	14	87	27	87	5	87	7	87	0
20	160	0.2	0.2	sig2	39	39	39	39	39	0	34	2	39	35	39	38	39	39	34	34	36	39	39	39	14	39	27	39	5	39	7	39	0
20	160	0.2	0.2	big2	87	87	39	63	87	0	55	2	87	69	87	81	84	87	57	63	72	87	87	87	14	87	27	87	5	87	7	87	0
20	160	0.2	0.2	s2or	87	87	39	63	87	39	60	39	87	73	87	82	84	87	62	68	75	87	87	87	39	87	39	87	39	87	39	87	39
40	160	0.2	0.2	raw	1000	148	435	510	798	609	916	663	1000	968	1000	990	999	1000	944	950	984	1000	1000	798	521	798	582	796	686	798	725	493	305
40	160	0.2	0.2	sig1	148	148	64	105	137	25	102	33	148	127	148	138	147	148	113	118	134	148	148	137	90	137	127	137	45	137	70	137	0
40	160	0.2	0.2	bsln	137	137	62	105	137	25	102	33	137	124	137	133	137	137	111	115	129	137	137	137	90	137	127	137	45	137	70	137	0
40	160	0.2	0.2	sig2	62	62	62	62	62	25	58	32	62	62	62	62	62	62	60	60	62	62	62	62	62	62	62	62	39	62	48	62	0
40	160	0.2	0.2	big2	137	137	62	105	137	25	102	33	137	124	137	133	137	137	111	115	129	137	137	137	90	137	127	137	45	137	70	137	0
40	160	0.2	0.2	s2or	137	137	62	105	137	62	106	63	137	124	137	133	137	137	113	117	129	137	137	137	90	137	127	137	68	137	84	137	62
80	160	0.2	0.2	raw	1000	237	435	578	855	742	884	827	994	980	1000	992	1000	1000	945	947	994	1000	1000	855	796	855	839	839	782	855	843	460	395
80	160	0.2	0.2	sig1	237	237	106	201	222	124	186	157	232	222	237	230	237	237	212	214	232	237	237	222	209	222	222	222	150	222	210	210	12
80	160	0.2	0.2	bsln	222	222	105	200	222	124	186	157	221	216	222	220	222	222	210	212	221	222	222	222	209	222	222	222	150	222	210	210	12
80	160	0.2	0.2	sig2	105	105	105	105	105	90	104	99	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	97	105	105	93	12
80	160	0.2	0.2	big2	222	222	105	200	222	124	186	157	221	216	222	220	222	222	210	212	221	222	222	222	209	222	222	222	150	222	210	222	12
80	160	0.2	0.2	s2or	222	222	105	200	222	139	187	163	221	216	222	220	222	222	210	212	221	222	222	222	209	222	222	222	158	222	210	222	105
160	160	0.2	0.2	raw	1000	435	435	708	916	823	824	940	938	996	996	996	1000	1000	938	938	1000	1000	1000	916	916	916	916	860	864	914	916	456	460
160	160	0.2	0.2	sig1	435	435	186	407	415	354	356	408	408	433	433	433	435	435	408	408	435	435	435	415	415	415	415	414	363	415	415	315	100
160	160	0.2	0.2	bsln	415	415	186	401	415	354	356	402	402	415	415	415	415	415	402	402	415	415	415	415	415	415	415	414	363	415	415	315	100
160	160	0.2	0.2	sig2	186	186	186	186	186	183	183	186	186	186	186	186	186	186	186	186	186	186	186	186	186	186	186	185	185	186	186	86	100
160	160	0.2	0.2	big2	415	415	186	401	415	356	358	402	402	415	415	415	415	415	402	402	415	415	415	415	415	415	415	415	363	415	415	415	100
160	160	0.2	0.2	s2or	415	415	186	401	415	357	359	402	402	415	415	415	415	415	402	402	415	415	415	415	415	415	415	415	364	415	415	415	186
320	160	0.2	0.2	raw	1000	690	435	860	953	883	732	997	816	1000	984	993	1000	1000	948	948	1000	998	1000	940	953	950	953	856	921	927	953	430	523
320	160	0.2	0.2	sig1	690	690	297	672	659	621	520	690	574	690	684	689	690	690	661	661	690	690	690	659	659	659	659	633	627	656	659	383	276
320	160	0.2	0.2	bsln	659	659	297	653	659	616	520	659	573	659	656	658	659	659	645	645	659	659	659	659	659	659	659	633	627	656	659	383	276
320	160	0.2	0.2	sig2	297	297	297	297	297	286	256	297	276	297	296	297	297	297	294	294	297	297	297	297	297	297	297	271	297	294	297	57	240
320	160	0.2	0.2	big2	659	659	333	653	659	627	560	659	594	659	657	658	659	659	648	648	659	659	659	659	659	659	659	659	627	659	659	659	276
320	160	0.2	0.2	s2or	659	659	297	653	659	627	561	659	594	659	657	658	659	659	648	648	659	659	659	659	659	659	659	659	627	659	659	623	333
20	320	0.2	0.2	raw	1000	95	690	713	735	373	944	383	1000	951	1000	986	988	1000	945	947	957	1000	1000	735	10	735	9	735	522	735	541	514	221
20	320	0.2	0.2	sig1	95	95	69	76	90	0	61	0	95	66	95	84	84	95	61	63	69	95	95	90	3	90	4	90	0	90	0	90	0
20	320	0.2	0.2	bsln	90	90	66	74	90	0	61	0	90	66	90	83	83	90	61	63	69	90	90	90	3	90	4	90	0	90	0	90	0
20	320	0.2	0.2	sig2	66	66	66	66	66	0	51	0	66	53	66	60	60	66	51	52	54	66	66	66	3	66	4	66	0	66	0	66	0
20	320	0.2	0.2	big2	90	90	66	74	90	0	61	0	90	66	90	83	83	90	61	63	69	90	90	90	3	90	4	90	0	90	0	90	0
20	320	0.2	0.2	s2or	90	90	66	74	90	66	76	66	90	79	90	89	89	90	76	77	81	90	90	90	66	90	66	90	66	90	66	90	66
40	320	0.2	0.2	raw	1000	148	690	752	819	469	925	490	1000	957	1000	980	989	1000	935	938	966	1000	999	819	345	819	365	819	637	819	663	521	298
40	320	0.2	0.2	sig1	148	148	103	137	143	3	108	4	148	124	148	134	139	148	112	114	129	148	147	143	63	143	89	143	19	143	34	143	0
40	320	0.2	0.2	bsln	143	143	99	133	143	3	108	4	143	124	143	134	139	143	112	114	129	143	143	143	63	143	89	143	19	143	34	143	0
40	320	0.2	0.2	sig2	99	99	99	99	99	3	81	4	99	91	99	98	99	99	84	85	95	99	99	99	63	99	89	99	19	99	34	99	0
40	320	0.2	0.2	big2	143	143	99	133	143	3	108	4	143	124	143	134	139	143	112	114	129	143	143	143	63	143	89	143	19	143	34	143	0
40	320	0.2	0.2	s2or	143	143	99	133	143	99	126	99	143	132	143	135	139	143	127	128	133	143	143	143	99	143	99	143	99	143	99	143	99
80	320	0.2	0.2	raw	1000	237	690	800	886	597	917	654	1000	967	1000	989	998	1000	948	949	983	1000	1000	886	756	886	807	881	761	886	802	505	381
80	320	0.2	0.2	sig1	237	237	164	225	236	63	197	87	237	221	237	231	236	237	212	213	229	237	237	236	197	236	231	236	118	236	153	233	3
80	320	0.2	0.2	bsln	236	236	163	224	236	63	197	87	236	221	236	231	236	236	212	213	229	236	236	236	197	236	231	236	118	236	153	233	3
80	320	0.2	0.2	sig2	163	163	163	163	163	63	150	84	163	162	163	163	163	163	157	158	163	163	163	163	163	163	163	163	108	163	128	160	3
80	320	0.2	0.2	big2	236	236	163	224	236	63	197	87	236	221	236	231	236	236	212	213	229	236	236	236	197	236	231	236	118	236	153	236	3
80	320	0.2	0.2	s2or	236	236	163	224	236	163	210	166	236	222	236	231	236	236	218	218	229	236	236	236	197	236	231	236	173	236	188	236	163
160	320	0.2	0.2	raw	1000	435	690	864	953	742	889	829	998	986	999	998	1000	1000	941	944	998	1000	1000	953	942	953	953	928	850	953	914	502	451
160	320	0.2	0.2	sig1	435	435	295	427	435	307	372	338	435	430	435	435	435	435	396	399	435	435	435	435	429	435	435	435	333	435	396	366	69
160	320	0.2	0.2	bsln	435	435	295	427	435	307	372	338	435	430	435	435	435	435	396	399	435	435	435	435	429	435	435	435	333	435	396	366	69
160	320	0.2	0.2	sig2	295	295	295	295	295	257	281	270	295	294	295	295	295	295	287	287	295	295	295	295	295	295	295	295	269	295	287	226	69
160	320	0.2	0.2	big2	435	435	295	427	435	308	372	339	435	430	435	435	435	435	396	399	435	435	435	435	429	435	435	435	333	435	396	435	69
160	320	0.2	0.2	s2or	435	435	295	427	435	345	386	363	435	431	435	435	435	435	404	407	435	435	435	435	429	435	435	435	359	435	404	435	295
320	320	0.2	0.2	raw	1000	690	690	942	990	839	839	957	958	995	994	995	1000	1000	957	958	1000	1000	1000	990	990	990	990	921	925	988	990	494	497
320	320	0.2	0.2	sig1	690	690	483	682	687	603	603	668	669	689	689	689	690	690	668	669	690	690	690	687	687	687	687	682	622	687	687	446	242
320	320	0.2	0.2	bsln	687	687	483	680	687	603	603	667	668	686	686	686	687	687	667	668	687	687	687	687	687	687	687	682	622	687	687	446	242
320	320	0.2	0.2	sig2	483	483	483	483	483	463	463	481	481	483	483	483	483	483	481	481	483	483	483	483	483	483	483	478	475	483	483	242	242
320	320	0.2	0.2	big2	687	687	483	680	687	612	612	668	669	686	686	686	687	687	668	669	687	687	687	687	687	687	687	687	622	687	687	687	242
320	320	0.2	0.2	s2or	687	687	483	680	687	623	623	669	670	686	686	686	687	687	669	670	687	687	687	687	687	687	687	687	630	687	687	687	483
20	20	0.5	0.2	raw	1000	337	95	316	706	736	743	907	929	984	985	985	1000	1000	903	917	999	999	999	706	706	706	706	698	632	706	704	491	215
20	20	0.5	0.2	sig1	337	337	26	211	254	166	176	256	277	322	323	323	337	337	256	267	336	336	336	254	254	254	254	254	180	254	252	243	11
20	20	0.5	0.2	bsln	254	254	23	209	254	166	176	233	241	252	253	253	254	254	233	239	254	254	254	254	254	254	254	254	180	254	252	243	11
20	20	0.5	0.2	sig2	23	23	23	23	23	22	21	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	22	23	23	12	11
20	20	0.5	0.2	big2	254	254	23	209	254	166	177	233	241	252	253	253	254	254	233	239	254	254	254	254	254	254	254	254	180	254	252	254	11
20	20	0.5	0.2	s2or	254	254	23	209	254	167	178	233	241	252	253	253	254	254	233	239	254	254	254	254	254	254	254	254	181	254	252	254	23
40	20	0.5	0.2	raw	1000	590	95	569	733	776	607	979	714	991	954	974	1000	998	879	882	1000	984	998	700	733	720	733	706	681	730	733	523	210
40	20	0.5	0.2	sig1	590	590	56	488	442	404	287	569	364	581	548	564	590	588	483	486	590	574	588	442	442	442	442	437	390	440	442	380	62
40	20	0.5	0.2	bsln	442	442	52	422	442	386	287	441	359	442	439	441	442	442	424	426	442	442	442	442	442	442	442	437	390	440	442	380	62
40	20	0.5	0.2	sig2	52	52	52	52	52	50	44	52	47	52	52	52	52	52	52	50	52	52	52	52	52	52	52	47	52	50	52	10	42
